"config_id","config_signature","s_star","s","s_ref","pilot_rep_id","q","T1","T2","n1","n2","b2","K1","K2","T_fd_budget","cost_proxy","val_loss","eligible","runtime_sec","seed_data","seed_val","seed_algo","error_message"
"E__linear_s_sweep_n3200_p600_sstar20_s40_h1bb068d0","experiment_id=E2_linear_s_sweep||model=linear||n=3200||p=600||s_star=20||s=40||s_ref=20||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p_-0p___T1_-_0-_00__T2_-___tail1__alpha_p0_",20,40,20,1,0.2,128,8,2560,640,80,128,7,103,328320,0.964479065317015,TRUE,5.97,20560421,20570421,20580421,NA
"E__linear_s_sweep_n3200_p600_sstar20_s40_h1bb068d0","experiment_id=E2_linear_s_sweep||model=linear||n=3200||p=600||s_star=20||s=40||s_ref=20||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p_-0p___T1_-_0-_00__T2_-___tail1__alpha_p0_",20,40,20,1,0.25,128,8,2400,800,100,128,7,97,308000,1.02895561913053,TRUE,4.23999999999999,20560421,20570421,20580421,NA
"E__linear_s_sweep_n3200_p600_sstar20_s40_h1bb068d0","experiment_id=E2_linear_s_sweep||model=linear||n=3200||p=600||s_star=20||s=40||s_ref=20||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p_-0p___T1_-_0-_00__T2_-___tail1__alpha_p0_",20,40,20,1,0.5,128,8,1600,1600,200,128,7,65,206400,1.17066854079617,TRUE,3.20999999999999,20560421,20570421,20580421,NA
"E__linear_s_sweep_n3200_p600_sstar20_s40_h1bb068d0","experiment_id=E2_linear_s_sweep||model=linear||n=3200||p=600||s_star=20||s=40||s_ref=20||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p_-0p___T1_-_0-_00__T2_-___tail1__alpha_p0_",20,40,20,1,0.2,150,8,2560,640,80,128,7,121,384640,0.978587952889354,TRUE,5.46000000000001,20560421,20570421,20580421,NA
"E__linear_s_sweep_n3200_p600_sstar20_s40_h1bb068d0","experiment_id=E2_linear_s_sweep||model=linear||n=3200||p=600||s_star=20||s=40||s_ref=20||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p_-0p___T1_-_0-_00__T2_-___tail1__alpha_p0_",20,40,20,1,0.25,150,8,2400,800,100,128,7,113,360800,0.97277407116691,TRUE,5.07000000000001,20560421,20570421,20580421,NA
"E__linear_s_sweep_n3200_p600_sstar20_s40_h1bb068d0","experiment_id=E2_linear_s_sweep||model=linear||n=3200||p=600||s_star=20||s=40||s_ref=20||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p_-0p___T1_-_0-_00__T2_-___tail1__alpha_p0_",20,40,20,1,0.5,150,8,1600,1600,200,128,7,76,241600,1.05268345219014,TRUE,3.63,20560421,20570421,20580421,NA
"E__linear_s_sweep_n3200_p600_sstar20_s40_h1bb068d0","experiment_id=E2_linear_s_sweep||model=linear||n=3200||p=600||s_star=20||s=40||s_ref=20||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p_-0p___T1_-_0-_00__T2_-___tail1__alpha_p0_",20,40,20,1,0.2,200,8,2560,640,80,128,7,161,512640,0.981344010835517,TRUE,7.06,20560421,20570421,20580421,NA
"E__linear_s_sweep_n3200_p600_sstar20_s40_h1bb068d0","experiment_id=E2_linear_s_sweep||model=linear||n=3200||p=600||s_star=20||s=40||s_ref=20||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p_-0p___T1_-_0-_00__T2_-___tail1__alpha_p0_",20,40,20,1,0.25,200,8,2400,800,100,128,7,151,480800,1.00801003517654,TRUE,6.99000000000001,20560421,20570421,20580421,NA
"E__linear_s_sweep_n3200_p600_sstar20_s40_h1bb068d0","experiment_id=E2_linear_s_sweep||model=linear||n=3200||p=600||s_star=20||s=40||s_ref=20||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p_-0p___T1_-_0-_00__T2_-___tail1__alpha_p0_",20,40,20,1,0.5,200,8,1600,1600,200,128,7,101,321600,1.00223114713297,TRUE,4.77000000000001,20560421,20570421,20580421,NA
"E__linear_s_sweep_n3200_p600_sstar20_s40_h1bb068d0","experiment_id=E2_linear_s_sweep||model=linear||n=3200||p=600||s_star=20||s=40||s_ref=20||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p_-0p___T1_-_0-_00__T2_-___tail1__alpha_p0_",20,40,20,1,0.5,128,12,1600,1600,133,128,7,65,206396,1.13118257784125,TRUE,2.88999999999999,20560421,20570421,20580421,NA
