"config_id","config_signature","s_star","s","s_ref","pilot_rep_id","q","T1","T2","n1","n2","b2","K1","K2","T_fd_budget","cost_proxy","val_loss","eligible","runtime_sec","seed_data","seed_val","seed_algo","error_message"
"E__linear_s_sweep_n1800_p1800_sstar5_s10_h19756f1c","experiment_id=E2_linear_s_sweep||model=linear||n=1800||p=1800||s_star=5||s=10||s_ref=5||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p___T1_0-_-_00__T2_-___tail1__alpha_p0_",5,10,5,1,0.5,150,8,900,900,112,19,4,76,135896,0.916864952541164,TRUE,8.56,20360421,20370421,20380421,NA
"E__linear_s_sweep_n1800_p1800_sstar5_s10_h19756f1c","experiment_id=E2_linear_s_sweep||model=linear||n=1800||p=1800||s_star=5||s=10||s_ref=5||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p___T1_0-_-_00__T2_-___tail1__alpha_p0_",5,10,5,1,0.5,175,8,900,900,112,19,4,88,158396,0.931987668056411,TRUE,9.58000000000001,20360421,20370421,20380421,NA
"E__linear_s_sweep_n1800_p1800_sstar5_s10_h19756f1c","experiment_id=E2_linear_s_sweep||model=linear||n=1800||p=1800||s_star=5||s=10||s_ref=5||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p___T1_0-_-_00__T2_-___tail1__alpha_p0_",5,10,5,1,0.5,200,8,900,900,112,19,4,101,180896,0.940500228773947,TRUE,11.17,20360421,20370421,20380421,NA
"E__linear_s_sweep_n1800_p1800_sstar5_s10_h19756f1c","experiment_id=E2_linear_s_sweep||model=linear||n=1800||p=1800||s_star=5||s=10||s_ref=5||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p___T1_0-_-_00__T2_-___tail1__alpha_p0_",5,10,5,1,0.5,150,12,900,900,75,19,4,76,135900,0.915498291982972,TRUE,8.79000000000001,20360421,20370421,20380421,NA
"E__linear_s_sweep_n1800_p1800_sstar5_s10_h19756f1c","experiment_id=E2_linear_s_sweep||model=linear||n=1800||p=1800||s_star=5||s=10||s_ref=5||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p___T1_0-_-_00__T2_-___tail1__alpha_p0_",5,10,5,1,0.5,175,12,900,900,75,19,4,88,158400,0.927197708008547,TRUE,10.15,20360421,20370421,20380421,NA
"E__linear_s_sweep_n1800_p1800_sstar5_s10_h19756f1c","experiment_id=E2_linear_s_sweep||model=linear||n=1800||p=1800||s_star=5||s=10||s_ref=5||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p___T1_0-_-_00__T2_-___tail1__alpha_p0_",5,10,5,1,0.5,200,12,900,900,75,19,4,101,180900,0.934898007254831,TRUE,10.72,20360421,20370421,20380421,NA
"E__linear_s_sweep_n1800_p1800_sstar5_s10_h19756f1c","experiment_id=E2_linear_s_sweep||model=linear||n=1800||p=1800||s_star=5||s=10||s_ref=5||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p___T1_0-_-_00__T2_-___tail1__alpha_p0_",5,10,5,2,0.5,150,8,900,900,112,19,4,76,135896,0.903619333208416,TRUE,8.58,20360422,20370422,20380422,NA
"E__linear_s_sweep_n1800_p1800_sstar5_s10_h19756f1c","experiment_id=E2_linear_s_sweep||model=linear||n=1800||p=1800||s_star=5||s=10||s_ref=5||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p___T1_0-_-_00__T2_-___tail1__alpha_p0_",5,10,5,2,0.5,175,8,900,900,112,19,4,88,158396,0.897450732884099,TRUE,9.95,20360422,20370422,20380422,NA
"E__linear_s_sweep_n1800_p1800_sstar5_s10_h19756f1c","experiment_id=E2_linear_s_sweep||model=linear||n=1800||p=1800||s_star=5||s=10||s_ref=5||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p___T1_0-_-_00__T2_-___tail1__alpha_p0_",5,10,5,2,0.5,200,8,900,900,112,19,4,101,180896,0.90807497876242,TRUE,10.84,20360422,20370422,20380422,NA
"E__linear_s_sweep_n1800_p1800_sstar5_s10_h19756f1c","experiment_id=E2_linear_s_sweep||model=linear||n=1800||p=1800||s_star=5||s=10||s_ref=5||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p___T1_0-_-_00__T2_-___tail1__alpha_p0_",5,10,5,2,0.5,150,12,900,900,75,19,4,76,135900,0.909539513981934,TRUE,8.46000000000001,20360422,20370422,20380422,NA
"E__linear_s_sweep_n1800_p1800_sstar5_s10_h19756f1c","experiment_id=E2_linear_s_sweep||model=linear||n=1800||p=1800||s_star=5||s=10||s_ref=5||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p___T1_0-_-_00__T2_-___tail1__alpha_p0_",5,10,5,2,0.5,175,12,900,900,75,19,4,88,158400,0.908367867849551,TRUE,9.81,20360422,20370422,20380422,NA
"E__linear_s_sweep_n1800_p1800_sstar5_s10_h19756f1c","experiment_id=E2_linear_s_sweep||model=linear||n=1800||p=1800||s_star=5||s=10||s_ref=5||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p___T1_0-_-_00__T2_-___tail1__alpha_p0_",5,10,5,2,0.5,200,12,900,900,75,19,4,101,180900,0.910390766958702,TRUE,10.79,20360422,20370422,20380422,NA
"E__linear_s_sweep_n1800_p1800_sstar5_s10_h19756f1c","experiment_id=E2_linear_s_sweep||model=linear||n=1800||p=1800||s_star=5||s=10||s_ref=5||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p___T1_0-_-_00__T2_-___tail1__alpha_p0_",5,10,5,3,0.5,150,8,900,900,112,19,4,76,135896,0.860735590381258,TRUE,8.7,20360423,20370423,20380423,NA
"E__linear_s_sweep_n1800_p1800_sstar5_s10_h19756f1c","experiment_id=E2_linear_s_sweep||model=linear||n=1800||p=1800||s_star=5||s=10||s_ref=5||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p___T1_0-_-_00__T2_-___tail1__alpha_p0_",5,10,5,3,0.5,175,8,900,900,112,19,4,88,158396,0.854752430459621,TRUE,9.56,20360423,20370423,20380423,NA
"E__linear_s_sweep_n1800_p1800_sstar5_s10_h19756f1c","experiment_id=E2_linear_s_sweep||model=linear||n=1800||p=1800||s_star=5||s=10||s_ref=5||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p___T1_0-_-_00__T2_-___tail1__alpha_p0_",5,10,5,3,0.5,200,8,900,900,112,19,4,101,180896,0.856092515660642,TRUE,11.18,20360423,20370423,20380423,NA
"E__linear_s_sweep_n1800_p1800_sstar5_s10_h19756f1c","experiment_id=E2_linear_s_sweep||model=linear||n=1800||p=1800||s_star=5||s=10||s_ref=5||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p___T1_0-_-_00__T2_-___tail1__alpha_p0_",5,10,5,3,0.5,150,12,900,900,75,19,4,76,135900,0.862588586181829,TRUE,8.55,20360423,20370423,20380423,NA
"E__linear_s_sweep_n1800_p1800_sstar5_s10_h19756f1c","experiment_id=E2_linear_s_sweep||model=linear||n=1800||p=1800||s_star=5||s=10||s_ref=5||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p___T1_0-_-_00__T2_-___tail1__alpha_p0_",5,10,5,3,0.5,175,12,900,900,75,19,4,88,158400,0.862819945753877,TRUE,9.48,20360423,20370423,20380423,NA
