"config_id","config_signature","s_star","s","s_ref","pilot_rep_id","q","T1","T2","n1","n2","b2","K1","K2","T_fd_budget","cost_proxy","val_loss","eligible","runtime_sec","seed_data","seed_val","seed_algo","error_message"
"E__linear_s_sweep_n3200_p600_sstar25_s50_h234cd5e2","experiment_id=E2_linear_s_sweep||model=linear||n=3200||p=600||s_star=25||s=50||s_ref=25||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p_-0p___T1_-_0-_00__T2_-___tail1__alpha_p0_",25,50,25,1,0.2,128,8,2560,640,80,160,7,103,328320,1.10687228622998,TRUE,5.14,20360421,20370421,20380421,NA
"E__linear_s_sweep_n3200_p600_sstar25_s50_h234cd5e2","experiment_id=E2_linear_s_sweep||model=linear||n=3200||p=600||s_star=25||s=50||s_ref=25||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p_-0p___T1_-_0-_00__T2_-___tail1__alpha_p0_",25,50,25,1,0.25,128,8,2400,800,100,160,7,97,308000,1.03397062754434,TRUE,4.58,20360421,20370421,20380421,NA
"E__linear_s_sweep_n3200_p600_sstar25_s50_h234cd5e2","experiment_id=E2_linear_s_sweep||model=linear||n=3200||p=600||s_star=25||s=50||s_ref=25||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p_-0p___T1_-_0-_00__T2_-___tail1__alpha_p0_",25,50,25,1,0.5,128,8,1600,1600,200,160,7,65,206400,1.11805273931973,TRUE,3.3,20360421,20370421,20380421,NA
"E__linear_s_sweep_n3200_p600_sstar25_s50_h234cd5e2","experiment_id=E2_linear_s_sweep||model=linear||n=3200||p=600||s_star=25||s=50||s_ref=25||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p_-0p___T1_-_0-_00__T2_-___tail1__alpha_p0_",25,50,25,1,0.2,150,8,2560,640,80,160,7,121,384640,1.00726263451242,TRUE,5.5,20360421,20370421,20380421,NA
"E__linear_s_sweep_n3200_p600_sstar25_s50_h234cd5e2","experiment_id=E2_linear_s_sweep||model=linear||n=3200||p=600||s_star=25||s=50||s_ref=25||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p_-0p___T1_-_0-_00__T2_-___tail1__alpha_p0_",25,50,25,1,0.25,150,8,2400,800,100,160,7,113,360800,0.97285796288002,TRUE,5.25,20360421,20370421,20380421,NA
"E__linear_s_sweep_n3200_p600_sstar25_s50_h234cd5e2","experiment_id=E2_linear_s_sweep||model=linear||n=3200||p=600||s_star=25||s=50||s_ref=25||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p_-0p___T1_-_0-_00__T2_-___tail1__alpha_p0_",25,50,25,1,0.5,150,8,1600,1600,200,160,7,76,241600,1.02485963866631,TRUE,3.71,20360421,20370421,20380421,NA
"E__linear_s_sweep_n3200_p600_sstar25_s50_h234cd5e2","experiment_id=E2_linear_s_sweep||model=linear||n=3200||p=600||s_star=25||s=50||s_ref=25||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p_-0p___T1_-_0-_00__T2_-___tail1__alpha_p0_",25,50,25,1,0.2,200,8,2560,640,80,160,7,161,512640,1.01890895727241,TRUE,7.36,20360421,20370421,20380421,NA
"E__linear_s_sweep_n3200_p600_sstar25_s50_h234cd5e2","experiment_id=E2_linear_s_sweep||model=linear||n=3200||p=600||s_star=25||s=50||s_ref=25||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p_-0p___T1_-_0-_00__T2_-___tail1__alpha_p0_",25,50,25,1,0.25,200,8,2400,800,100,160,7,151,480800,0.995315453425257,TRUE,6.89,20360421,20370421,20380421,NA
"E__linear_s_sweep_n3200_p600_sstar25_s50_h234cd5e2","experiment_id=E2_linear_s_sweep||model=linear||n=3200||p=600||s_star=25||s=50||s_ref=25||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p_-0p___T1_-_0-_00__T2_-___tail1__alpha_p0_",25,50,25,1,0.5,200,8,1600,1600,200,160,7,101,321600,0.994827406590852,TRUE,4.8,20360421,20370421,20380421,NA
"E__linear_s_sweep_n3200_p600_sstar25_s50_h234cd5e2","experiment_id=E2_linear_s_sweep||model=linear||n=3200||p=600||s_star=25||s=50||s_ref=25||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p_-0p___T1_-_0-_00__T2_-___tail1__alpha_p0_",25,50,25,1,0.5,128,12,1600,1600,133,160,7,65,206396,1.05720406294836,TRUE,3.25,20360421,20370421,20380421,NA
