"config_id","config_signature","s_star","s","s_ref","pilot_rep_id","q","T1","T2","n1","n2","b2","K1","K2","T_fd_budget","cost_proxy","val_loss","eligible","runtime_sec","seed_data","seed_val","seed_algo","error_message"
"E__linear_s_sweep_n3200_p600_sstar30_s60_h704020ef","experiment_id=E2_linear_s_sweep||model=linear||n=3200||p=600||s_star=30||s=60||s_ref=30||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=2||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p_-0p___T1_-_0-_00__T2_-___tail1__alpha_p0_",30,60,30,1,0.2,128,8,2560,640,80,192,7,103,328320,1.14000457614207,TRUE,2.64,20660421,20670421,20680421,NA
"E__linear_s_sweep_n3200_p600_sstar30_s60_h704020ef","experiment_id=E2_linear_s_sweep||model=linear||n=3200||p=600||s_star=30||s=60||s_ref=30||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=2||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p_-0p___T1_-_0-_00__T2_-___tail1__alpha_p0_",30,60,30,1,0.25,128,8,2400,800,100,192,7,97,308000,1.18515980926544,TRUE,2.25,20660421,20670421,20680421,NA
"E__linear_s_sweep_n3200_p600_sstar30_s60_h704020ef","experiment_id=E2_linear_s_sweep||model=linear||n=3200||p=600||s_star=30||s=60||s_ref=30||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=2||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p_-0p___T1_-_0-_00__T2_-___tail1__alpha_p0_",30,60,30,1,0.2,150,8,2560,640,80,192,7,121,384640,1.06667609794606,TRUE,3.05,20660421,20670421,20680421,NA
"E__linear_s_sweep_n3200_p600_sstar30_s60_h704020ef","experiment_id=E2_linear_s_sweep||model=linear||n=3200||p=600||s_star=30||s=60||s_ref=30||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=2||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p_-0p___T1_-_0-_00__T2_-___tail1__alpha_p0_",30,60,30,1,0.25,150,8,2400,800,100,192,7,113,360800,1.06703449172008,TRUE,2.59,20660421,20670421,20680421,NA
"E__linear_s_sweep_n3200_p600_sstar30_s60_h704020ef","experiment_id=E2_linear_s_sweep||model=linear||n=3200||p=600||s_star=30||s=60||s_ref=30||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=2||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p_-0p___T1_-_0-_00__T2_-___tail1__alpha_p0_",30,60,30,1,0.2,200,8,2560,640,80,192,7,161,512640,1.01757357622133,TRUE,3.97,20660421,20670421,20680421,NA
"E__linear_s_sweep_n3200_p600_sstar30_s60_h704020ef","experiment_id=E2_linear_s_sweep||model=linear||n=3200||p=600||s_star=30||s=60||s_ref=30||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=2||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p_-0p___T1_-_0-_00__T2_-___tail1__alpha_p0_",30,60,30,1,0.25,200,8,2400,800,100,192,7,151,480800,1.03139877263617,TRUE,3.56,20660421,20670421,20680421,NA
"E__linear_s_sweep_n3200_p600_sstar30_s60_h704020ef","experiment_id=E2_linear_s_sweep||model=linear||n=3200||p=600||s_star=30||s=60||s_ref=30||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=2||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p_-0p___T1_-_0-_00__T2_-___tail1__alpha_p0_",30,60,30,2,0.2,128,8,2560,640,80,192,7,103,328320,1.15931515758129,TRUE,2.64,20660422,20670422,20680422,NA
"E__linear_s_sweep_n3200_p600_sstar30_s60_h704020ef","experiment_id=E2_linear_s_sweep||model=linear||n=3200||p=600||s_star=30||s=60||s_ref=30||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=2||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p_-0p___T1_-_0-_00__T2_-___tail1__alpha_p0_",30,60,30,2,0.25,128,8,2400,800,100,192,7,97,308000,1.14310066332253,TRUE,2.25,20660422,20670422,20680422,NA
"E__linear_s_sweep_n3200_p600_sstar30_s60_h704020ef","experiment_id=E2_linear_s_sweep||model=linear||n=3200||p=600||s_star=30||s=60||s_ref=30||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=2||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p_-0p___T1_-_0-_00__T2_-___tail1__alpha_p0_",30,60,30,2,0.2,150,8,2560,640,80,192,7,121,384640,1.0539218425336,TRUE,3.03,20660422,20670422,20680422,NA
"E__linear_s_sweep_n3200_p600_sstar30_s60_h704020ef","experiment_id=E2_linear_s_sweep||model=linear||n=3200||p=600||s_star=30||s=60||s_ref=30||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=2||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p_-0p___T1_-_0-_00__T2_-___tail1__alpha_p0_",30,60,30,2,0.25,150,8,2400,800,100,192,7,113,360800,1.02822367472905,TRUE,2.66,20660422,20670422,20680422,NA
