"config_id","config_signature","s_star","s","s_ref","pilot_rep_id","q","T1","T2","n1","n2","b2","K1","K2","T_fd_budget","cost_proxy","val_loss","eligible","runtime_sec","seed_data","seed_val","seed_algo","error_message"
"E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb","experiment_id=E2_linear_s_sweep||model=linear||n=1800||p=1800||s_star=15||s=30||s_ref=15||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p___T1_0-_-_00__T2_-___tail1__alpha_p0_",15,30,15,1,0.2,150,8,1440,360,45,57,4,121,216360,1.09720641010381,TRUE,9.84999999999999,20460421,20470421,20480421,NA
"E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb","experiment_id=E2_linear_s_sweep||model=linear||n=1800||p=1800||s_star=15||s=30||s_ref=15||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p___T1_0-_-_00__T2_-___tail1__alpha_p0_",15,30,15,1,0.25,150,8,1350,450,56,57,4,113,202948,1.10928293043874,TRUE,9.48000000000002,20460421,20470421,20480421,NA
"E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb","experiment_id=E2_linear_s_sweep||model=linear||n=1800||p=1800||s_star=15||s=30||s_ref=15||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p___T1_0-_-_00__T2_-___tail1__alpha_p0_",15,30,15,1,0.5,150,8,900,900,112,57,4,76,135896,1.15751986624743,TRUE,8.94,20460421,20470421,20480421,NA
"E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb","experiment_id=E2_linear_s_sweep||model=linear||n=1800||p=1800||s_star=15||s=30||s_ref=15||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p___T1_0-_-_00__T2_-___tail1__alpha_p0_",15,30,15,1,0.2,175,8,1440,360,45,57,4,141,252360,1.04244003833608,TRUE,11.61,20460421,20470421,20480421,NA
"E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb","experiment_id=E2_linear_s_sweep||model=linear||n=1800||p=1800||s_star=15||s=30||s_ref=15||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p___T1_0-_-_00__T2_-___tail1__alpha_p0_",15,30,15,1,0.25,175,8,1350,450,56,57,4,132,236698,1.0825387907288,TRUE,11.37,20460421,20470421,20480421,NA
"E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb","experiment_id=E2_linear_s_sweep||model=linear||n=1800||p=1800||s_star=15||s=30||s_ref=15||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p___T1_0-_-_00__T2_-___tail1__alpha_p0_",15,30,15,1,0.5,175,8,900,900,112,57,4,88,158396,1.06528837801198,TRUE,10.44,20460421,20470421,20480421,NA
"E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb","experiment_id=E2_linear_s_sweep||model=linear||n=1800||p=1800||s_star=15||s=30||s_ref=15||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p___T1_0-_-_00__T2_-___tail1__alpha_p0_",15,30,15,1,0.2,200,8,1440,360,45,57,4,161,288360,1.04522843939268,TRUE,13.02,20460421,20470421,20480421,NA
"E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb","experiment_id=E2_linear_s_sweep||model=linear||n=1800||p=1800||s_star=15||s=30||s_ref=15||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p___T1_0-_-_00__T2_-___tail1__alpha_p0_",15,30,15,1,0.25,200,8,1350,450,56,57,4,151,270448,1.05018996636925,TRUE,12.52,20460421,20470421,20480421,NA
"E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb","experiment_id=E2_linear_s_sweep||model=linear||n=1800||p=1800||s_star=15||s=30||s_ref=15||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p___T1_0-_-_00__T2_-___tail1__alpha_p0_",15,30,15,1,0.5,200,8,900,900,112,57,4,101,180896,1.04177124190895,TRUE,12.01,20460421,20470421,20480421,NA
"E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb","experiment_id=E2_linear_s_sweep||model=linear||n=1800||p=1800||s_star=15||s=30||s_ref=15||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p___T1_0-_-_00__T2_-___tail1__alpha_p0_",15,30,15,1,0.5,150,12,900,900,75,57,4,76,135900,1.10999278270737,TRUE,8.67000000000002,20460421,20470421,20480421,NA
"E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb","experiment_id=E2_linear_s_sweep||model=linear||n=1800||p=1800||s_star=15||s=30||s_ref=15||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p___T1_0-_-_00__T2_-___tail1__alpha_p0_",15,30,15,1,0.5,175,12,900,900,75,57,4,88,158400,1.04273852248609,TRUE,10.31,20460421,20470421,20480421,NA
"E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb","experiment_id=E2_linear_s_sweep||model=linear||n=1800||p=1800||s_star=15||s=30||s_ref=15||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p___T1_0-_-_00__T2_-___tail1__alpha_p0_",15,30,15,1,0.5,200,12,900,900,75,57,4,101,180900,1.07003604146731,TRUE,11.68,20460421,20470421,20480421,NA
"E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb","experiment_id=E2_linear_s_sweep||model=linear||n=1800||p=1800||s_star=15||s=30||s_ref=15||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p___T1_0-_-_00__T2_-___tail1__alpha_p0_",15,30,15,2,0.2,150,8,1440,360,45,57,4,121,216360,1.0715543962666,TRUE,10.06,20460422,20470422,20480422,NA
"E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb","experiment_id=E2_linear_s_sweep||model=linear||n=1800||p=1800||s_star=15||s=30||s_ref=15||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p___T1_0-_-_00__T2_-___tail1__alpha_p0_",15,30,15,2,0.25,150,8,1350,450,56,57,4,113,202948,1.06944442217797,TRUE,9.55000000000001,20460422,20470422,20480422,NA
"E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb","experiment_id=E2_linear_s_sweep||model=linear||n=1800||p=1800||s_star=15||s=30||s_ref=15||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p___T1_0-_-_00__T2_-___tail1__alpha_p0_",15,30,15,2,0.5,150,8,900,900,112,57,4,76,135896,1.16862598329583,TRUE,8.92000000000002,20460422,20470422,20480422,NA
"E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb","experiment_id=E2_linear_s_sweep||model=linear||n=1800||p=1800||s_star=15||s=30||s_ref=15||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p___T1_0-_-_00__T2_-___tail1__alpha_p0_",15,30,15,2,0.2,175,8,1440,360,45,57,4,141,252360,1.03594772111029,TRUE,11.55,20460422,20470422,20480422,NA
"E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb","experiment_id=E2_linear_s_sweep||model=linear||n=1800||p=1800||s_star=15||s=30||s_ref=15||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p___T1_0-_-_00__T2_-___tail1__alpha_p0_",15,30,15,2,0.25,175,8,1350,450,56,57,4,132,236698,1.05287357535302,TRUE,11.26,20460422,20470422,20480422,NA
"E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb","experiment_id=E2_linear_s_sweep||model=linear||n=1800||p=1800||s_star=15||s=30||s_ref=15||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p___T1_0-_-_00__T2_-___tail1__alpha_p0_",15,30,15,2,0.5,175,8,900,900,112,57,4,88,158396,1.0311471016731,TRUE,10.17,20460422,20470422,20480422,NA
"E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb","experiment_id=E2_linear_s_sweep||model=linear||n=1800||p=1800||s_star=15||s=30||s_ref=15||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p___T1_0-_-_00__T2_-___tail1__alpha_p0_",15,30,15,2,0.2,200,8,1440,360,45,57,4,161,288360,0.991088973251668,TRUE,12.97,20460422,20470422,20480422,NA
"E__linear_s_sweep_n1800_p1800_sstar15_s30_h6812e0cb","experiment_id=E2_linear_s_sweep||model=linear||n=1800||p=1800||s_star=15||s=30||s_ref=15||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p___T1_0-_-_00__T2_-___tail1__alpha_p0_",15,30,15,2,0.25,200,8,1350,450,56,57,4,151,270448,1.0728595349971,TRUE,12.84,20460422,20470422,20480422,NA
