"config_id","config_signature","s_star","s","s_ref","pilot_rep_id","q","T1","T2","n1","n2","b2","K1","K2","T_fd_budget","cost_proxy","val_loss","eligible","runtime_sec","seed_data","seed_val","seed_algo","error_message"
"E__linear_s_sweep_n1800_p1800_sstar30_s60_h54e54a86","experiment_id=E2_linear_s_sweep||model=linear||n=1800||p=1800||s_star=30||s=60||s_ref=30||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p___T1_0-_-_00__T2_-___tail1__alpha_p0_",30,60,30,1,0.2,150,8,1440,360,45,113,4,121,216360,1.70966328188154,TRUE,11.2199999999999,20660421,20670421,20680421,NA
"E__linear_s_sweep_n1800_p1800_sstar30_s60_h54e54a86","experiment_id=E2_linear_s_sweep||model=linear||n=1800||p=1800||s_star=30||s=60||s_ref=30||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p___T1_0-_-_00__T2_-___tail1__alpha_p0_",30,60,30,1,0.25,150,8,1350,450,56,113,4,113,202948,1.60642220109861,TRUE,9.94999999999993,20660421,20670421,20680421,NA
"E__linear_s_sweep_n1800_p1800_sstar30_s60_h54e54a86","experiment_id=E2_linear_s_sweep||model=linear||n=1800||p=1800||s_star=30||s=60||s_ref=30||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p___T1_0-_-_00__T2_-___tail1__alpha_p0_",30,60,30,1,0.2,175,8,1440,360,45,113,4,141,252360,1.57535013887689,TRUE,13.22,20660421,20670421,20680421,NA
"E__linear_s_sweep_n1800_p1800_sstar30_s60_h54e54a86","experiment_id=E2_linear_s_sweep||model=linear||n=1800||p=1800||s_star=30||s=60||s_ref=30||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p___T1_0-_-_00__T2_-___tail1__alpha_p0_",30,60,30,1,0.25,175,8,1350,450,56,113,4,132,236698,1.37588389255587,TRUE,11.39,20660421,20670421,20680421,NA
"E__linear_s_sweep_n1800_p1800_sstar30_s60_h54e54a86","experiment_id=E2_linear_s_sweep||model=linear||n=1800||p=1800||s_star=30||s=60||s_ref=30||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p___T1_0-_-_00__T2_-___tail1__alpha_p0_",30,60,30,1,0.2,200,8,1440,360,45,113,4,161,288360,1.50405140933386,TRUE,14.86,20660421,20670421,20680421,NA
"E__linear_s_sweep_n1800_p1800_sstar30_s60_h54e54a86","experiment_id=E2_linear_s_sweep||model=linear||n=1800||p=1800||s_star=30||s=60||s_ref=30||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p___T1_0-_-_00__T2_-___tail1__alpha_p0_",30,60,30,1,0.25,200,8,1350,450,56,113,4,151,270448,1.25444321786317,TRUE,13.11,20660421,20670421,20680421,NA
"E__linear_s_sweep_n1800_p1800_sstar30_s60_h54e54a86","experiment_id=E2_linear_s_sweep||model=linear||n=1800||p=1800||s_star=30||s=60||s_ref=30||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p___T1_0-_-_00__T2_-___tail1__alpha_p0_",30,60,30,2,0.2,150,8,1440,360,45,113,4,121,216360,1.8687878552139,TRUE,11.24,20660422,20670422,20680422,NA
"E__linear_s_sweep_n1800_p1800_sstar30_s60_h54e54a86","experiment_id=E2_linear_s_sweep||model=linear||n=1800||p=1800||s_star=30||s=60||s_ref=30||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p___T1_0-_-_00__T2_-___tail1__alpha_p0_",30,60,30,2,0.25,150,8,1350,450,56,113,4,113,202948,3.07599547616181,TRUE,10.11,20660422,20670422,20680422,NA
"E__linear_s_sweep_n1800_p1800_sstar30_s60_h54e54a86","experiment_id=E2_linear_s_sweep||model=linear||n=1800||p=1800||s_star=30||s=60||s_ref=30||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p___T1_0-_-_00__T2_-___tail1__alpha_p0_",30,60,30,2,0.2,175,8,1440,360,45,113,4,141,252360,1.49157753442981,TRUE,12.91,20660422,20670422,20680422,NA
"E__linear_s_sweep_n1800_p1800_sstar30_s60_h54e54a86","experiment_id=E2_linear_s_sweep||model=linear||n=1800||p=1800||s_star=30||s=60||s_ref=30||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p___T1_0-_-_00__T2_-___tail1__alpha_p0_",30,60,30,2,0.25,175,8,1350,450,56,113,4,132,236698,2.30867645183903,TRUE,11.3000000000001,20660422,20670422,20680422,NA
"E__linear_s_sweep_n1800_p1800_sstar30_s60_h54e54a86","experiment_id=E2_linear_s_sweep||model=linear||n=1800||p=1800||s_star=30||s=60||s_ref=30||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p___T1_0-_-_00__T2_-___tail1__alpha_p0_",30,60,30,2,0.2,200,8,1440,360,45,113,4,161,288360,1.35458083265313,TRUE,15.17,20660422,20670422,20680422,NA
