"config_id","config_signature","s_star","s","s_ref","pilot_rep_id","q","T1","T2","n1","n2","b2","K1","K2","T_fd_budget","cost_proxy","val_loss","eligible","runtime_sec","seed_data","seed_val","seed_algo","error_message"
"E__linear_s_sweep_n3200_p600_sstar5_s10_h0796fb50","experiment_id=E2_linear_s_sweep||model=linear||n=3200||p=600||s_star=5||s=10||s_ref=5||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p_-0p___T1_-_0-_00__T2_-___tail1__alpha_p0_",5,10,5,1,0.5,128,8,1600,1600,200,32,7,65,206400,0.873426400728031,TRUE,4.14,20360421,20370421,20380421,NA
"E__linear_s_sweep_n3200_p600_sstar5_s10_h0796fb50","experiment_id=E2_linear_s_sweep||model=linear||n=3200||p=600||s_star=5||s=10||s_ref=5||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p_-0p___T1_-_0-_00__T2_-___tail1__alpha_p0_",5,10,5,1,0.5,150,8,1600,1600,200,32,7,76,241600,0.875501912474604,TRUE,4.64,20360421,20370421,20380421,NA
"E__linear_s_sweep_n3200_p600_sstar5_s10_h0796fb50","experiment_id=E2_linear_s_sweep||model=linear||n=3200||p=600||s_star=5||s=10||s_ref=5||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p_-0p___T1_-_0-_00__T2_-___tail1__alpha_p0_",5,10,5,1,0.5,200,8,1600,1600,200,32,7,101,321600,0.87069889215446,TRUE,5.97,20360421,20370421,20380421,NA
"E__linear_s_sweep_n3200_p600_sstar5_s10_h0796fb50","experiment_id=E2_linear_s_sweep||model=linear||n=3200||p=600||s_star=5||s=10||s_ref=5||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p_-0p___T1_-_0-_00__T2_-___tail1__alpha_p0_",5,10,5,1,0.5,128,12,1600,1600,133,32,7,65,206396,0.879040445262928,TRUE,4.01,20360421,20370421,20380421,NA
"E__linear_s_sweep_n3200_p600_sstar5_s10_h0796fb50","experiment_id=E2_linear_s_sweep||model=linear||n=3200||p=600||s_star=5||s=10||s_ref=5||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p_-0p___T1_-_0-_00__T2_-___tail1__alpha_p0_",5,10,5,1,0.5,150,12,1600,1600,133,32,7,76,241596,0.858216835297199,TRUE,4.64,20360421,20370421,20380421,NA
"E__linear_s_sweep_n3200_p600_sstar5_s10_h0796fb50","experiment_id=E2_linear_s_sweep||model=linear||n=3200||p=600||s_star=5||s=10||s_ref=5||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p_-0p___T1_-_0-_00__T2_-___tail1__alpha_p0_",5,10,5,1,0.5,200,12,1600,1600,133,32,7,101,321596,0.859505077575737,TRUE,6.03,20360421,20370421,20380421,NA
"E__linear_s_sweep_n3200_p600_sstar5_s10_h0796fb50","experiment_id=E2_linear_s_sweep||model=linear||n=3200||p=600||s_star=5||s=10||s_ref=5||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p_-0p___T1_-_0-_00__T2_-___tail1__alpha_p0_",5,10,5,2,0.5,128,8,1600,1600,200,32,7,65,206400,0.929810843957185,TRUE,4.14,20360422,20370422,20380422,NA
"E__linear_s_sweep_n3200_p600_sstar5_s10_h0796fb50","experiment_id=E2_linear_s_sweep||model=linear||n=3200||p=600||s_star=5||s=10||s_ref=5||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p_-0p___T1_-_0-_00__T2_-___tail1__alpha_p0_",5,10,5,2,0.5,150,8,1600,1600,200,32,7,76,241600,0.924972155310256,TRUE,4.64,20360422,20370422,20380422,NA
"E__linear_s_sweep_n3200_p600_sstar5_s10_h0796fb50","experiment_id=E2_linear_s_sweep||model=linear||n=3200||p=600||s_star=5||s=10||s_ref=5||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p_-0p___T1_-_0-_00__T2_-___tail1__alpha_p0_",5,10,5,2,0.5,200,8,1600,1600,200,32,7,101,321600,0.928482646407332,TRUE,5.95,20360422,20370422,20380422,NA
"E__linear_s_sweep_n3200_p600_sstar5_s10_h0796fb50","experiment_id=E2_linear_s_sweep||model=linear||n=3200||p=600||s_star=5||s=10||s_ref=5||df_X=2.5||df_eps=1.5||scale_X=1||scale_eps=1||theta_magnitude=5||eta=0.02||m_min=10||validation_metric=median_abs_prediction_error||n_pilot=15||selection_alpha=1.05||selection_rule=within_1.05_best_then_min_budget||grid_signature=q0p_-0p_-0p_-0p___T1_-_0-_00__T2_-___tail1__alpha_p0_",5,10,5,2,0.5,128,12,1600,1600,133,32,7,65,206396,0.912475467309962,TRUE,4.06,20360422,20370422,20380422,NA
